01.1,Produção de lavouras temporárias
3314-7/17,"Manutenção e reparação de máquinas e equipamentos de terraplenagem, pavimentação e construção, exceto tratores"
3314-7/18,"Manutenção e reparação de máquinas para a indústria metalúrgica, exceto máquinas-ferramenta"
3314-7/19,"Manutenção e reparação de máquinas e equipamentos para as indústrias de alimentos, bebidas e fumo"
3314-7/20,"Manutenção e reparação de máquinas e equipamentos para a indústria têxtil, do vestuário, do couro e calçados"
3314-7/21,"Manutenção e reparação de máquinas e aparelhos para a indústria de celulose, papel e papelão e artefatos"
3314-7/22,Manutenção e reparação de máquinas e aparelhos para a indústria do plástico
3314-7/99,Manutenção e reparação de outras máquinas e equipamentos para usos industriais não especificados anteriormente
33.15-5,Manutenção e reparação de veículos ferroviários
3315-5/00,Manutenção e reparação de veículos ferroviários
33.16-3,Manutenção e reparação de aeronaves
3316-3/01,"Manutenção e reparação de aeronaves, exceto a manutenção na pista"
3316-3/02,Manutenção de aeronaves na pista
33.17-1,Manutenção e reparação de embarcações
3317-1/01,Manutenção e reparação de embarcações e estruturas flutuantes
3317-1/02,Manutenção e reparação de embarcações para esporte e lazer
33.19-8,Manutenção e reparação de equipamentos e produtos não especificados anteriormente
3319-8/00,Manutenção e reparação de equipamentos e produtos não especificados anteriormente
33.2,Instalação de máquinas e equipamentos
33.21-0,Instalação de máquinas e equipamentos industriais
3321-0/00,Instalação de máquinas e equipamentos industriais
33.29-5,Instalação de equipamentos não especificados anteriormente
3329-5/01,Serviços de montagem de móveis de qualquer material
3329-5/99,Instalação de outros equipamentos não especificados anteriormente
35.0,"ELETRICIDADE, GÁS E OUTRAS UTILIDADES"
35.1,"Geração, transmissão e distribuição de energia elétrica"
35.11-5,Geração de energia elétrica
3511-5/01,Geração de energia elétrica
3511-5/02,Atividades de coordenação e controle da operação da geração e transmissão de energia elétrica
35.12-3,Transmissão de energia elétrica
3512-3/00,Transmissão de energia elétrica
35.13-1,Comércio atacadista de energia elétrica
3513-1/00,Comércio atacadista de energia elétrica
35.14-0,Distribuição de energia elétrica
3514-0/00,Distribuição de energia elétrica
35.2,Produção e distribuição de combustíveis gasosos por redes urbanas
35.20-4,Produção de gás; processamento de gás natural; distribuição de combustíveis gasosos por redes urbanas
3520-4/01,Produção de gás; processamento de gás natural
3520-4/02,Distribuição de combustíveis gasosos por redes urbanas
35.3,"Produção e distribuição de vapor, água quente e ar condicionado"
35.30-1,"Produção e distribuição de vapor, água quente e ar condicionado"
3530-1/00,"Produção e distribuição de vapor, água quente e ar condicionado"
36.0,"Captação, tratamento e distribuição de água"
36.00-6,"Captação, tratamento e distribuição de água"
3600-6/01,"Captação, tratamento e distribuição de água"
3600-6/02,Distribuição de água por caminhões
37.0,Esgoto e atividades relacionadas
37.01-1,Gestão de redes de esgoto
3701-1/00,Gestão de redes de esgoto
37.02-9,"Atividades relacionadas a esgoto, exceto a gestão de redes"
3702-9/00,"Atividades relacionadas a esgoto, exceto a gestão de redes"
38.0,"COLETA, TRATAMENTO E DISPOSIÇÃO DE RESÍDUOS; RECUPERAÇÃO DE MATERIAIS"
38.1,Coleta de resíduos
38.11-4,Coleta de resíduos não-perigosos
3811-4/00,Coleta de resíduos não-perigosos
38.12-2,Coleta de resíduos perigosos
3812-2/00,Coleta de resíduos perigosos
38.2,Tratamento e disposição de resíduos
38.21-1,Tratamento e disposição de resíduos não-perigosos
3821-1/00,Tratamento e disposição de resíduos não-perigosos
38.22-0,Tratamento e disposição de resíduos perigosos
3822-0/00,Tratamento e disposição de resíduos perigosos
38.3,Recuperação de materiais
38.31-9,Recuperação de materiais metálicos
3831-9/01,Recuperação de sucatas de alumínio
3831-9/99,"Recuperação de materiais metálicos, exceto alumínio"
38.32-7,Recuperação de materiais plásticos
3832-7/00,Recuperação de materiais plásticos
38.39-4,Recuperação de materiais não especificados anteriormente
3839-4/01,Usinas de compostagem
3839-4/99,Recuperação de materiais não especificados anteriormente
39.0,Descontaminação e outros serviços de gestão de resíduos
39.00-5,Descontaminação e outros serviços de gestão de resíduos
3900-5/00,Descontaminação e outros serviços de gestão de resíduos
41.0,CONSTRUÇÃO DE EDIFÍCIOS
41.1,Incorporação de empreendimentos imobiliários
41.10-7,Incorporação de empreendimentos imobiliários
4110-7/00,Incorporação de empreendimentos imobiliários
41.2,Construção de edifícios
41.20-4,Construção de edifícios
4120-4/00,Construção de edifícios
42.0,OBRAS DE INFRA-ESTRUTURA
42.1,"Construção de rodovias, ferrovias, obras urbanas e obras-de-arte especiais"
42.11-1,Construção de rodovias e ferrovias
4211-1/01,Construção de rodovias e ferrovias
4211-1/02,Pintura para sinalização em pistas rodoviárias e aeroportos
42.12-0,Construção de obras-de-arte especiais
4212-0/00,Construção de obras-de-arte especiais
42.13-8,"Obras de urbanização - ruas, praças e calçadas"
4213-8/00,"Obras de urbanização - ruas, praças e calçadas"
42.2,"Obras de infra-estrutura para energia elétrica, telecomunicações, água, esgoto e transporte por dutos"
42.21-9,Obras para geração e distribuição de energia elétrica e para telecomunicações
4221-9/01,Construção de barragens e represas para geração de energia elétrica
4221-9/02,Construção de estações e redes de distribuição de energia elétrica
4221-9/03,Manutenção de redes de distribuição de energia elétrica
4221-9/04,Construção de estações e redes de telecomunicações
4221-9/05,Manutenção de estações e redes de telecomunicações
42.22-7,"Construção de redes de abastecimento de água, coleta de esgoto e construções correlatas"
4222-7/01,"Construção de redes de abastecimento de água, coleta de esgoto e construções correlatas, exceto obras de irrigação"
4222-7/02,Obras de irrigação
42.23-5,"Construção de redes de transportes por dutos, exceto para água e esgoto"
4223-5/00,"Construção de redes de transportes por dutos, exceto para água e esgoto"
42.9,Construção de outras obras de infra-estrutura
42.91-0,"Obras portuárias, marítimas e fluviais"
4291-0/00,"Obras portuárias, marítimas e fluviais"
42.92-8,Montagem de instalações industriais e de estruturas metálicas
4292-8/01,Montagem de estruturas metálicas
4292-8/02,Obras de montagem industrial
42.99-5,Obras de engenharia civil não especificadas anteriormente
4299-5/01,Construção de instalações esportivas e recreativas
4299-5/99,Outras obras de engenharia civil não especificadas anteriormente
43.0,SERVIÇOS ESPECIALIZADOS PARA CONSTRUÇÃO
43.1,Demolição e preparação do terreno
43.11-8,Demolição e preparação de canteiros de obras
4311-8/01,Demolição de edifícios e outras estruturas
4311-8/02,Preparação de canteiro e limpeza de terreno
43.12-6,Perfurações e sondagens
4312-6/00,Perfurações e sondagens
43.13-4,Obras de terraplenagem
4313-4/00,Obras de terraplenagem
43.19-3,Serviços de preparação do terreno não especificados anteriormente
4319-3/00,Serviços de preparação do terreno não especificados anteriormente
43.2,"Instalações elétricas, hidráulicas e outras instalações em construções"
43.21-5,Instalações elétricas
4321-5/00,Instalação e manutenção elétrica
43.22-3,"Instalações hidráulicas, de sistemas de ventilação e refrigeração"
4322-3/01,"Instalações hidráulicas, sanitárias e de gás"
4322-3/02,"Instalação e manutenção de sistemas centrais de ar condicionado, de ventilação e refrigeração"
4322-3/03,Instalações de sistema de prevenção contra incêndio
43.29-1,Obras de instalações em construções não especificadas anteriormente
4329-1/01,Instalação de painéis publicitários
4329-1/02,"Instalação de equipamentos para orientação à navegação marítima, fluvial e lacustre"
4329-1/03,"Instalação, manutenção e reparação de elevadores, escadas e esteiras rolantes"
4329-1/04,"Montagem e instalação de sistemas e equipamentos de iluminação e sinalização em vias públicas, portos e aeroportos"
4329-1/05,"Tratamentos térmicos, acústicos ou de vibração"
4329-1/99,Outras obras de instalações em construções não especificadas anteriormente
43.3,Obras de acabamento
43.30-4,Obras de acabamento
4330-4/01,Impermeabilização em obras de engenharia civil
4330-4/02,"Instalação de portas, janelas, tetos, divisórias e armários embutidos de qualquer material"
4330-4/03,Obras de acabamento em gesso e estuque
4330-4/04,Serviços de pintura de edifícios em geral
4330-4/05,Aplicação de revestimentos e de resinas em interiores e exteriores
4330-4/99,Outras obras de acabamento da construção
43.9,Outros serviços especializados para construção
43.91-6,Obras de fundações
4391-6/00,Obras de fundações
43.99-1,Serviços especializados para construção não especificados anteriormente
4399-1/01,Administração de obras
4399-1/02,Montagem e desmontagem de andaimes e outras estruturas temporárias
4399-1/03,Obras de alvenaria
4399-1/04,Serviços de operação e fornecimento de equipamentos para transporte e elevação de cargas e pessoas para uso em obras
4399-1/05,Perfuração e construção de poços de água
4399-1/99,Serviços especializados para construção não especificados anteriormente
45.0,COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS
45.1,Comércio de veículos automotores
45.11-1,Comércio a varejo e por atacado de veículos automotores
4511-1/01,"Comércio a varejo de automóveis, camionetas e utilitários novos"
4511-1/02,"Comércio a varejo de automóveis, camionetas e utilitários usados"
4511-1/03,"Comércio por atacado de automóveis, camionetas e utilitários novos e usados"
4511-1/04,Comércio por atacado de caminhões novos e usados
4511-1/05,Comércio por atacado de reboques e semi-reboques novos e usados
4511-1/06,Comércio por atacado de ônibus e microônibus novos e usados
45.12-9,Representantes comerciais e agentes do comércio de veículos automotores
4512-9/01,Representantes comerciais e agentes do comércio de veículos automotores
4512-9/02,Comércio sob consignação de veículos automotores
45.2,Manutenção e reparação de veículos automotores
45.20-0,Manutenção e reparação de veículos automotores
4520-0/01,Serviços de manutenção e reparação mecânica de veículos automotores
4520-0/02,Serviços de lanternagem ou funilaria e pintura de veículos automotores
4520-0/03,Serviços de manutenção e reparação elétrica de veículos automotores
4520-0/04,Serviços de alinhamento e balanceamento de veículos automotores
4520-0/05,"Serviços de lavagem, lubrificação e polimento de veículos automotores"
4520-0/06,Serviços de borracharia para veículos automotores
4520-0/07,"Serviços de instalação, manutenção e reparação de acessórios para veículos automotores"
4520-0/08,Serviços de capotaria
45.3,Comércio de peças e acessórios para veículos automotores
45.30-7,Comércio de peças e acessórios para veículos automotores
4530-7/01,Comércio por atacado de peças e acessórios novos para veículos automotores
4530-7/02,Comércio por atacado de pneumáticos e câmaras-de-ar
4530-7/03,Comércio a varejo de peças e acessórios novos para veículos automotores
4530-7/04,Comércio a varejo de peças e acessórios usados para veículos automotores
4530-7/05,Comércio a varejo de pneumáticos e câmaras-de-ar
4530-7/06,Representantes comerciais e agentes do comércio de peças e acessórios novos e usados para veículos automotores
45.4,"Comércio, manutenção e reparação de motocicletas, peças e acessórios"
45.41-2,"Comércio por atacado e a varejo de motocicletas, peças e acessórios"
4541-2/01,Comércio por atacado de motocicletas e motonetas
4541-2/02,Comércio por atacado de peças e acessórios para motocicletas e motonetas
4541-2/03,Comércio a varejo de motocicletas e motonetas novas
4541-2/04,Comércio a varejo de motocicletas e motonetas usadas
4541-2/05,Comércio a varejo de peças e acessórios para motocicletas e motonetas
45.42-1,"Representantes comerciais e agentes do comércio de motocicletas, peças e acessórios"
4542-1/01,"Representantes comerciais e agentes do comércio de motocicletas e motonetas, peças e acessórios"
4542-1/02,Comércio sob consignação de motocicletas e motonetas
45.43-9,Manutenção e reparação de motocicletas
4543-9/00,Manutenção e reparação de motocicletas e motonetas
46.1,"Representantes comerciais e agentes do comércio, exceto de veículos automotores e motocicletas"
46.11-7,Representantes comerciais e agentes do comércio de matérias-primas agrícolas e animais vivos
4611-7/00,Representantes comerciais e agentes do comércio de matérias-primas agrícolas e animais vivos
46.12-5,"Representantes comerciais e agentes do comércio de combustíveis, minerais, produtos siderúrgicos e químicos"
4612-5/00,"Representantes comerciais e agentes do comércio de combustíveis, minerais, produtos siderúrgicos e químicos"
46.13-3,"Representantes comerciais e agentes do comércio de madeira, material de construção e ferragens"
4613-3/00,"Representantes comerciais e agentes do comércio de madeira, material de construção e ferragens"
46.14-1,"Representantes comerciais e agentes do comércio de máquinas, equipamentos, embarcações e aeronaves"
4614-1/00,"Representantes comerciais e agentes do comércio de máquinas, equipamentos, embarcações e aeronaves"
46.15-0,"Representantes comerciais e agentes do comércio de eletrodomésticos, móveis e artigos de uso doméstico"
4615-0/00,"Representantes comerciais e agentes do comércio de eletrodomésticos, móveis e artigos de uso doméstico"
46.16-8,"Representantes comerciais e agentes do comércio de têxteis, vestuário, calçados e artigos de viagem"
4616-8/00,"Representantes comerciais e agentes do comércio de têxteis, vestuário, calçados e artigos de viagem"
46.17-6,"Representantes comerciais e agentes do comércio de produtos alimentícios, bebidas e fumo"
4617-6/00,"Representantes comerciais e agentes do comércio de produtos alimentícios, bebidas e fumo"
46.18-4,Representantes comerciais e agentes do comércio especializado em produtos não especificados anteriormente
4618-4/01,"Representantes comerciais e agentes do comércio de medicamentos, cosméticos e produtos de perfumaria"
4618-4/02,Representantes comerciais e agentes do comércio de instrumentos e materiais odonto-médico-hospitalares
4618-4/03,"Representantes comerciais e agentes do comércio de jornais, revistas e outras publicações"
4618-4/99,Outros representantes comerciais e agentes do comércio especializado em produtos não especificados anteriormente
46.19-2,Representantes comerciais e agentes do comércio de mercadorias em geral não especializado
4619-2/00,Representantes comerciais e agentes do comércio de mercadorias em geral não especializado
46.2,Comércio atacadista de matérias-primas agrícolas e animais vivos
46.21-4,Comércio atacadista de café em grão
4621-4/00,Comércio atacadista de café em grão
46.22-2,Comércio atacadista de soja
4622-2/00,Comércio atacadista de soja
46.23-1,"Comércio atacadista de animais vivos, alimentos para animais e matérias-primas agrícolas, exceto café e soja"
4623-1/01,Comércio atacadista de animais vivos
4623-1/02,"Comércio atacadista de couros, lãs, peles e outros subprodutos não-comestíveis de origem animal"
4623-1/03,Comércio atacadista de algodão
4623-1/04,Comércio atacadista de fumo em folha não beneficiado
4623-1/05,Comércio atacadista de cacau
4623-1/06,"Comércio atacadista de sementes, flores, plantas e gramas"
4623-1/07,Comércio atacadista de sisal
4623-1/08,Comércio atacadista de matérias-primas agrícolas com atividade de fracionamento e acondicionamento associada
4623-1/09,Comércio atacadista de alimentos para animais
4623-1/99,Comércio atacadista de matérias-primas agrícolas não especificadas anteriormente
46.3,"Comércio atacadista especializado em produtos alimentícios, bebidas e fumo"
46.31-1,Comércio atacadista de leite e laticínios
4631-1/00,Comércio atacadista de leite e laticínios
46.32-0,"Comércio atacadista de cereais e leguminosas beneficiados, farinhas, amidos e féculas"
4632-0/01,Comércio atacadista de cereais e leguminosas beneficiados
4632-0/02,"Comércio atacadista de farinhas, amidos e féculas"
4632-0/03,"Comércio atacadista de cereais e leguminosas beneficiados, farinhas, amidos e féculas, com atividade de fracionamento e acondicionamento associada"
46.33-8,Comércio atacadista de hortifrutigranjeiros
4633-8/01,"Comércio atacadista de frutas, verduras, raízes, tubérculos, hortaliças e legumes frescos"
4633-8/02,Comércio atacadista de aves vivas e ovos
4633-8/03,Comércio atacadista de coelhos e outros pequenos animais vivos para alimentação
46.34-6,"Comércio atacadista de carnes, produtos da carne e pescado"
4634-6/01,Comércio atacadista de carnes bovinas e suínas e derivados
4634-6/02,Comércio atacadista de aves abatidas e derivados
4634-6/03,Comércio atacadista de pescados e frutos do mar
4634-6/99,Comércio atacadista de carnes e derivados de outros animais
46.35-4,Comércio atacadista de bebidas
4635-4/01,Comércio atacadista de água mineral
4635-4/02,"Comércio atacadista de cerveja, chope e refrigerante"
4635-4/03,Comércio atacadista de bebidas com atividade de fracionamento e acondicionamento associada
4635-4/99,Comércio atacadista de bebidas não especificadas anteriormente
46.36-2,Comércio atacadista de produtos do fumo
4636-2/01,Comércio atacadista de fumo beneficiado
4636-2/02,"Comércio atacadista de cigarros, cigarrilhas e charutos"
46.37-1,Comércio atacadista especializado em produtos alimentícios não especificados anteriormente
4637-1/01,"Comércio atacadista de café torrado, moído e solúvel"
4637-1/02,Comércio atacadista de açúcar
4637-1/03,Comércio atacadista de óleos e gorduras
4637-1/04,"Comércio atacadista de pães, bolos, biscoitos e similares"
4637-1/05,Comércio atacadista de massas alimentícias
4637-1/06,Comércio atacadista de sorvetes
4637-1/07,"Comércio atacadista de chocolates, confeitos, balas, bombons e semelhantes"
4637-1/99,Comércio atacadista especializado em outros produtos alimentícios não especificados anteriormente
46.39-7,Comércio atacadista de produtos alimentícios em geral
4639-7/01,Comércio atacadista de produtos alimentícios em geral
4639-7/02,"Comércio atacadista de produtos alimentícios em geral, com atividade de fracionamento e acondicionamento associada"
46.4,Comércio atacadista de produtos de consumo não-alimentar
46.41-9,"Comércio atacadista de tecidos, artefatos de tecidos e de armarinho"
4641-9/01,Comércio atacadista de tecidos
4641-9/02,"Comércio atacadista de artigos de cama, mesa e banho"
4641-9/03,Comércio atacadista de artigos de armarinho
46.42-7,Comércio atacadista de artigos do vestuário e acessórios
4642-7/01,"Comércio atacadista de artigos do vestuário e acessórios, exceto profissionais e de segurança"
4642-7/02,Comércio atacadista de roupas e acessórios para uso profissional e de segurança do trabalho
46.43-5,Comércio atacadista de calçados e artigos de viagem
4643-5/01,Comércio atacadista de calçados
4643-5/02,"Comércio atacadista de bolsas, malas e artigos de viagem"
46.44-3,Comércio atacadista de produtos farmacêuticos para uso humano e veterinário
4644-3/01,Comércio atacadista de medicamentos e drogas de uso humano
4644-3/02,Comércio atacadista de medicamentos e drogas de uso veterinário
46.45-1,"Comércio atacadista de instrumentos e materiais para uso médico, cirúrgico, ortopédico e odontológico"
4645-1/01,"Comércio atacadista de instrumentos e materiais para uso médico, cirúrgico, hospitalar e de laboratórios"
4645-1/02,Comércio atacadista de próteses e artigos de ortopedia
4645-1/03,Comércio atacadista de produtos odontológicos
46.46-0,"Comércio atacadista de cosméticos, produtos de perfumaria e de higiene pessoal"
4646-0/01,Comércio atacadista de cosméticos e produtos de perfumaria
4646-0/02,Comércio atacadista de produtos de higiene pessoal
46.47-8,"Comércio atacadista de artigos de escritório e de papelaria; livros, jornais e outras publicações"
4647-8/01,Comércio atacadista de artigos de escritório e de papelaria
4647-8/02,"Comércio atacadista de livros, jornais e outras publicações"
46.49-4,Comércio atacadista de equipamentos e artigos de uso pessoal e doméstico não especificados anteriormente
4649-4/01,Comércio atacadista de equipamentos elétricos de uso pessoal e doméstico
4649-4/02,Comércio atacadista de aparelhos eletrônicos de uso pessoal e doméstico
4649-4/03,"Comércio atacadista de bicicletas, triciclos e outros veículos recreativos"
4649-4/04,Comércio atacadista de móveis e artigos de colchoaria
4649-4/05,Comércio atacadista de artigos de tapeçaria; persianas e cortinas
4649-4/06,"Comércio atacadista de lustres, luminárias e abajures"
4649-4/07,"Comércio atacadista de filmes, CDs, DVDs, fitas e discos"
4649-4/08,"Comércio atacadista de produtos de higiene, limpeza e conservação domiciliar"
4649-4/09,"Comércio atacadista de produtos de higiene, limpeza e conservação domiciliar, com atividade de fracionamento e acondicionamento associada"
4649-4/10,"Comércio atacadista de jóias, relógios e bijuterias, inclusive pedras preciosas e semipreciosas lapidadas"
4649-4/99,Comércio atacadista de outros equipamentos e artigos de uso pessoal e doméstico não especificados anteriormente
46.5,Comércio atacadista de equipamentos e produtos de tecnologias de informação e comunicação
46.51-6,"Comércio atacadista de computadores, periféricos e suprimentos de informática"
4651-6/01,Comércio atacadista de equipamentos de informática
4651-6/02,Comércio atacadista de suprimentos para informática
46.52-4,Comércio atacadista de componentes eletrônicos e equipamentos de telefonia e comunicação
4652-4/00,Comércio atacadista de componentes eletrônicos e equipamentos de telefonia e comunicação
46.6,"Comércio atacadista de máquinas, aparelhos e equipamentos, exceto de tecnologias de informação e comunicação"
46.61-3,"Comércio atacadista de máquinas, aparelhos e equipamentos para uso agropecuário; partes e peças"
4661-3/00,"Comércio atacadista de máquinas, aparelhos e equipamentos para uso agropecuário; partes e peças"
46.62-1,"Comércio atacadista de máquinas, equipamentos para terraplenagem, mineração e construção; partes e peças"
4662-1/00,"Comércio atacadista de máquinas, equipamentos para terraplenagem, mineração e construção; partes e peças"
46.63-0,Comércio atacadista de máquinas e equipamentos para uso industrial; partes e peças
4663-0/00,Comércio atacadista de máquinas e equipamentos para uso industrial; partes e peças
46.64-8,"Comércio atacadista de máquinas, aparelhos e equipamentos para uso odonto-médico-hospitalar; partes e peças"
4664-8/00,"Comércio atacadista de máquinas, aparelhos e equipamentos para uso odonto-médico-hospitalar; partes e peças"
46.65-6,Comércio atacadista de máquinas e equipamentos para uso comercial; partes e peças
4665-6/00,Comércio atacadista de máquinas e equipamentos para uso comercial; partes e peças
46.69-9,"Comércio atacadista de máquinas, aparelhos e equipamentos não especificados anteriormente; partes e peças"
4669-9/01,Comércio atacadista de bombas e compressores; partes e peças
4669-9/99,Comércio atacadista de outras máquinas e equipamentos não especificados anteriormente; partes e peças
46.7,"Comércio atacadista de madeira, ferragens, ferramentas, material elétrico e material de construção"
46.71-1,Comércio atacadista de madeira e produtos derivados
4671-1/00,Comércio atacadista de madeira e produtos derivados
46.72-9,Comércio atacadista de ferragens e ferramentas
4672-9/00,Comércio atacadista de ferragens e ferramentas
46.73-7,Comércio atacadista de material elétrico
4673-7/00,Comércio atacadista de material elétrico
46.74-5,Comércio atacadista de cimento
4674-5/00,Comércio atacadista de cimento
46.79-6,Comércio atacadista especializado de materiais de construção não especificados anteriormente e de materiais de construção em geral
4679-6/01,"Comércio atacadista de tintas, vernizes e similares"
4679-6/02,Comércio atacadista de mármores e granitos
4679-6/03,"Comércio atacadista de vidros, espelhos e vitrais"
4679-6/04,Comércio atacadista especializado de materiais de construção não especificados anteriormente
4679-6/99,Comércio atacadista de materiais de construção em geral
46.8,Comércio atacadista especializado em outros produtos
46.81-8,"Comércio atacadista de combustíveis sólidos, líquidos e gasosos, exceto gás natural e GLP"
4681-8/01,"Comércio atacadista de álcool carburante, biodiesel, gasolina e demais derivados de petróleo, exceto lubrificantes, não realizado por transportador retalhista (TRR)"
4681-8/02,Comércio atacadista de combustíveis realizado por transportador retalhista (TRR)
4681-8/03,"Comércio atacadista de combustíveis de origem vegetal, exceto álcool carburante"
4681-8/04,Comércio atacadista de combustíveis de origem mineral em bruto
4681-8/05,Comércio atacadista de lubrificantes
46.82-6,Comércio atacadista de gás liqüefeito de petróleo (GLP)
4682-6/00,Comércio atacadista de gás liqüefeito de petróleo (GLP)
46.83-4,"Comércio atacadista de defensivos agrícolas, adubos, fertilizantes e corretivos do solo"
4683-4/00,"Comércio atacadista de defensivos agrícolas, adubos, fertilizantes e corretivos do solo"
46.84-2,"Comércio atacadista de produtos químicos e petroquímicos, exceto agroquímicos"
4684-2/01,Comércio atacadista de resinas e elastômeros
4684-2/02,Comércio atacadista de solventes
4684-2/99,Comércio atacadista de outros produtos químicos e petroquímicos não especificados anteriormente
46.85-1,"Comércio atacadista de produtos siderúrgicos e metalúrgicos, exceto para construção"
4685-1/00,"Comércio atacadista de produtos siderúrgicos e metalúrgicos, exceto para construção"
46.86-9,Comércio atacadista de papel e papelão em bruto e de embalagens
4686-9/01,Comércio atacadista de papel e papelão em bruto
4686-9/02,Comércio atacadista de embalagens
46.87-7,Comércio atacadista de resíduos e sucatas
4687-7/01,Comércio atacadista de resíduos de papel e papelão
4687-7/02,"Comércio atacadista de resíduos e sucatas não-metálicos, exceto de papel e papelão"
4687-7/03,Comércio atacadista de resíduos e sucatas metálicos
46.89-3,Comércio atacadista especializado de outros produtos intermediários não especificados anteriormente
4689-3/01,"Comércio atacadista de produtos da extração mineral, exceto combustíveis"
4689-3/02,Comércio atacadista de fios e fibras beneficiados
4689-3/99,Comércio atacadista especializado em outros produtos intermediários não especificados anteriormente
46.9,Comércio atacadista não-especializado
46.91-5,"Comércio atacadista de mercadorias em geral, com predominância de produtos alimentícios"
4691-5/00,"Comércio atacadista de mercadorias em geral, com predominância de produtos alimentícios"
46.92-3,"Comércio atacadista de mercadorias em geral, com predominância de insumos agropecuários"
4692-3/00,"Comércio atacadista de mercadorias em geral, com predominância de insumos agropecuários"
46.93-1,"Comércio atacadista de mercadorias em geral, sem predominância de alimentos ou de insumos agropecuários"
4693-1/00,"Comércio atacadista de mercadorias em geral, sem predominância de alimentos ou de insumos agropecuários"
47.1,Comércio varejista não-especializado
47.11-3,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados e supermercados"
4711-3/01,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados"
4711-3/02,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados"
47.12-1,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns"
4712-1/00,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns"
47.13-0,"Comércio varejista de mercadorias em geral, sem predominância de produtos alimentícios"
4713-0/01,Lojas de departamentos ou magazines
4713-0/02,"Lojas de variedades, exceto lojas de departamentos ou magazines"
4713-0/03,Lojas duty free de aeroportos internacionais
47.2,"Comércio varejista de produtos alimentícios, bebidas e fumo"
47.21-1,"Comércio varejista de produtos de padaria, laticínio, doces, balas e semelhantes"
4721-1/02,Padaria e confeitaria com predominância de revenda
4721-1/03,Comércio varejista de laticínios e frios
4721-1/04,"Comércio varejista de doces, balas, bombons e semelhantes"
47.22-9,Comércio varejista de carnes e pescados - açougues e peixarias
4722-9/01,Comércio varejista de carnes - açougues
4722-9/02,Peixaria
47.23-7,Comércio varejista de bebidas
4723-7/00,Comércio varejista de bebidas
47.24-5,Comércio varejista de hortifrutigranjeiros
4724-5/00,Comércio varejista de hortifrutigranjeiros
47.29-6,Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente; produtos do fumo
4729-6/01,Tabacaria
4729-6/02,Comércio varejista de mercadorias em lojas de conveniência
4729-6/99,Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente
47.3,Comércio varejista de combustíveis para veículos automotores
47.31-8,Comércio varejista de combustíveis para veículos automotores
4731-8/00,Comércio varejista de combustíveis para veículos automotores
47.32-6,Comércio varejista de lubrificantes
4732-6/00,Comércio varejista de lubrificantes
47.4,Comércio varejista de material de construção
47.41-5,Comércio varejista de tintas e materiais para pintura
4741-5/00,Comércio varejista de tintas e materiais para pintura
47.42-3,Comércio varejista de material elétrico
4742-3/00,Comércio varejista de material elétrico
47.43-1,Comércio varejista de vidros
4743-1/00,Comércio varejista de vidros
47.44-0,"Comércio varejista de ferragens, madeira e materiais de construção"
4744-0/01,Comércio varejista de ferragens e ferramentas
4744-0/02,Comércio varejista de madeira e artefatos
4744-0/03,Comércio varejista de materiais hidráulicos
4744-0/04,"Comércio varejista de cal, areia, pedra britada, tijolos e telhas"
4744-0/05,Comércio varejista de materiais de construção não especificados anteriormente
4744-0/06,Comércio varejista de pedras para revestimento
4744-0/99,Comércio varejista de materiais de construção em geral
47.5,Comércio varejista de equipamentos de informática e comunicação; equipamentos e artigos de uso doméstico
47.51-2,Comércio varejista especializado de equipamentos e suprimentos de informática
4751-2/01,Comércio varejista especializado de equipamentos e suprimentos de informática
4751-2/02,Recarga de cartuchos para equipamentos de informática
47.52-1,Comércio varejista especializado de equipamentos de telefonia e comunicação
4752-1/00,Comércio varejista especializado de equipamentos de telefonia e comunicação
47.53-9,Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo
4753-9/00,Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo
47.54-7,"Comércio varejista especializado de móveis, colchoaria e artigos de iluminação"
4754-7/01,Comércio varejista de móveis
4754-7/02,Comércio varejista de artigos de colchoaria
4754-7/03,Comércio varejista de artigos de iluminação
47.55-5,"Comércio varejista especializado de tecidos e artigos de cama, mesa e banho"
4755-5/01,Comércio varejista de tecidos
4755-5/02,Comercio varejista de artigos de armarinho
4755-5/03,"Comercio varejista de artigos de cama, mesa e banho"
47.56-3,Comércio varejista especializado de instrumentos musicais e acessórios
4756-3/00,Comércio varejista especializado de instrumentos musicais e acessórios
47.57-1,"Comércio varejista especializado de peças e acessórios para aparelhos eletroeletrônicos para uso doméstico, exceto informática e comunicação"
4757-1/00,"Comércio varejista especializado de peças e acessórios para aparelhos eletroeletrônicos para uso doméstico, exceto informática e comunicação"
